valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,artists_song
183,2013,193,J. Cole,7.659.999.999.999.990,296520,0.74,1,0Fs9cdPDhptWEDJmiCbkEW,784,1,229,-10.363,1,She Knows (feat. Amber Coffman & Cults),67,807,118.008,J. Cole - She Knows (feat. Amber Coffman & Cults)
274,2013,0.2,Tyler,0.36,319253,716,1,0NjW4SKY3gbfl2orl1p8hr,0.0,7,581,-6.181,1,IFHY (feat. Pharrell),67,0.34,86.001,Tyler - IFHY (feat. Pharrell)
737,2013,111,Avril Lavigne,482,214320,873,1,0qwcGscxUHGZTgq0zcaqk1,0.0,0,409,-3.145,1,Here's to Never Growing Up,70,853,165.084,Avril Lavigne - Here's to Never Growing Up
506,2013,202,Arctic Monkeys,579,207357,5.579.999.999.999.990,0,7nzsY8vlnKdvGOEE0rjAXZ,1.26e-06,2,212,-69.860.000.000.000.000,1,Arabella,74,895,179.949,Arctic Monkeys - Arabella
863,2013,378,Daft Punk,0.81,369627,7.929.999.999.999.990,0,69kOkLUCkxIZYexIgSG8rq,1.82e-06,6,72,-9.404,0,Get Lucky (feat. Pharrell Williams & Nile Rodgers),72,403,116.049,Daft Punk - Get Lucky (feat. Pharrell Williams & Nile Rodgers)
8.109.999.999.999.990,2013,321,Chance the Rapper,725,185062,601,1,1sFstGV1Z3Aw5TDFCiT7vK,0.0,1,504,-9.03,1,Favorite Song,65,377,155.918,Chance the Rapper - Favorite Song
357,2013,103,Justin Timberlake,795,326280,596,1,6vt0I1cw1YmAIKDJvHVIM5,0.0,11,1.639.999.999.999.990,-3.799,0,Suit & Tie (feat. Jay-Z),68,219,101.985,Justin Timberlake - Suit & Tie (feat. Jay-Z)
5.579.999.999.999.990,2013,758,Rainbow Kitten Surprise,679,188280,0.63,1,0HsGh7cboYz6cVMIyFrQ8j,7.06e-05,2,111,-6.83,1,Devil Like Me,66,158,123.082,Rainbow Kitten Surprise - Devil Like Me
662,2013,394,Panic! At The Disco,642,192053,873,0,46Kcradxrva9Dny4lHU1b3,0.0,2,175,-58.210.000.000.000.000,1,Miss Jackson (feat. LOLO),67,551,8.200.200.000.000.000,Panic! At The Disco - Miss Jackson (feat. LOLO)
409,2013,0.11,Twenty One Pilots,0.69,239015,6.779.999.999.999.990,0,4rfaoyaZvNa60cj3OKSQV9,0.0,0,246,-6.52,1,Migraine,68,154,173.995,Twenty One Pilots - Migraine
491,2013,639,Chris Young,652,188707,8.590.000.000.000.000,0,53Dj5PCDhb22qWqmre3YQs,0.0,2,777,-3.746,1,Aw Naw,64,358,109.971,Chris Young - Aw Naw
342,2013,272,Bring Me The Horizon,235,227296,0.86,0,1PInWkBARsxLyouDqa2GtF,969,4,388,-2.842,0,Can You Feel My Heart,65,561,127.788,Bring Me The Horizon - Can You Feel My Heart
965,2013,216,Panic! At The Disco,606,206840,924,0,2wEjPgOCEczmjlvq60LyQi,3.3e-06,11,0.24,-45.310.000.000.000.000,0,Girls / Girls / Boys,67,349,144.998,Panic! At The Disco - Girls / Girls / Boys
738,2013,265,Lady Gaga,669,212333,0.78,0,5ka2ajep9OAvU5Sgduhiex,1.63e-06,7,143,-4.287,0,Applause,72,53,139.945,Lady Gaga - Applause
156,2013,594,JAY-Z,6.759.999.999.999.990,338413,534,1,37jTPJgwCCmIGMPB45jrPV,8.59e-06,2,256,-6.901,0,Holy Grail,63,831,145.082,JAY-Z - Holy Grail
356,2013,365,Kelly Clarkson,521,216907,7.340.000.000.000.000,0,5fclVBnzaGrbucvVMC228o,0.0,7,132,-4.668,1,Wrapped in Red,63,392,123.84,Kelly Clarkson - Wrapped in Red
575,2013,418,Kacey Musgraves,448,199640,649,0,4CLPNURPcKztF9RRdcWLGP,0.0,5,976,-5.925,1,Follow Your Arrow,64,434,195.925,Kacey Musgraves - Follow Your Arrow
518,2013,422,Daft Punk,775,337560,585,0,2cGxRwrMyEAp8dEbuZaVv6,619,10,77,-9.516,0,Instant Crush (feat. Julian Casablancas),75,271,109.942,Daft Punk - Instant Crush (feat. Julian Casablancas)
597,2013,108,AJR,628,227311,867,0,2dgFqylK6gyILa4HY65u0y,0.0,9,308,-3.555,1,I'm Ready,65,913,78.043,AJR - I'm Ready
883,2013,395,Lil Wayne,612,223173,593,1,3Eq7yD58dIXqOgw1j7NFhY,0.0,1,484,-6.294,1,Rich As Fuck,62,458,130.583,Lil Wayne - Rich As Fuck
266,2013,4,The Neighbourhood,568,193080,569,0,5v8aEcHcaJIGYpfVVPtJjI,102,7,342,-6.013,0,Wires,70,329,72.991,The Neighbourhood - Wires
974,2013,0.62,Banda Los Recoditos,8.440.000.000.000.000,163560,639,0,01ksPzu3Bw8Lsf9o6xIk8C,0.0,11,0.46,-4.461,0,Mi Último Deseo,70,437,121.033,Banda Los Recoditos - Mi Último Deseo
506,2013,117,Thomas Rhett,5.429.999.999.999.990,186080,8.370.000.000.000.000,0,6GsAD8PgHxmEuIPTG8GP3M,0.0,11,872,-6.448,1,It Goes Like This,63,608,16.805.599.999.999.900,Thomas Rhett - It Goes Like This
6.759.999.999.999.990,2013,391,The 1975,591,224640,0.94,0,44Ljlpy44mHvLJxcYUvTK0,0.0,11,383,-4.341,1,Chocolate,63,522,100.043,The 1975 - Chocolate
36,2013,934,Ludovico Einaudi,447,315427,449,0,1BncfTJAWxrsxyT9culBrj,961,2,697,-10.634,1,Experience,73,376,92.468,Ludovico Einaudi - Experience
947,2013,105,Sara Bareilles,731,218573,5.720.000.000.000.000,0,7jJH8F3PHlNvxfqEAAfFDl,12,6,133,-78.889.999.999.999.900,0,I Choose You,67,445,15.403.799.999.999.900,Sara Bareilles - I Choose You
374,2013,332,The 1975,621,254510,7.020.000.000.000.000,0,06cCziAHtDg6pcsidZHu03,1.49e-05,4,322,-6.845,1,Robbers,65,295,99.808,The 1975 - Robbers
346,2013,821,Frank Sinatra,621,137547,147,0,53cumdNGYE6NFmGL0zHvx7,0.0,9,754,-11.111,1,Mistletoe And Holly,64,374,110.62,Frank Sinatra - Mistletoe And Holly
586,2013,25,Backstreet Boys,735,224960,873,0,4rTeOSYqwXNz5qPR2DUTFZ,3.27e-06,10,265,-34.930.000.000.000.000,0,Everybody (Backstreet's Back) - Radio Edit,62,402,108.021,Backstreet Boys - Everybody (Backstreet's Back) - Radio Edit
296,2013,836,Luke Bryan,483,202627,431,0,1PoGWZbJPGmViVi7CYbDUK,5.19e-05,8,199,-76.560.000.000.000.000,1,Drink A Beer,64,343,78.26,Luke Bryan - Drink A Beer
193,2013,216,Earl Sweatshirt,0.51,243773,503,1,6plT7nFGiXKSBP9HFSI4ef,2,10,108,-8.756,0,Chum,66,242,153.582,Earl Sweatshirt - Chum
435,2013,715,A$AP Ferg,8.690.000.000.000.000,275867,7.120.000.000.000.000,1,7eaKWfov7b2Qa2n6HTesL3,0.0,9,272,-6.136,1,Shabba (feat. A$AP Rocky),65,103,120.0,A$AP Ferg - Shabba (feat. A$AP Rocky)
6.859.999.999.999.990,2013,481,A$AP Rocky,757,212640,848,1,2rzBvHM9h36Tpdj7Jdajka,0.0,2,121,-4.234,1,Wild for the Night (feat. Skrillex & Birdy Nam Nam),68,335,139.995,A$AP Rocky - Wild for the Night (feat. Skrillex & Birdy Nam Nam)
8.170.000.000.000.000,2013,0.36,Prince Royce,757,206933,711,0,6cJLfIqwh0tCKRjYM3WpZ5,0.0,1,121,-4.643,0,Darte un Beso,71,349,13.996.200.000.000.000,Prince Royce - Darte un Beso
0.36,2013,395,Kanye West,397,359800,0.69,1,42GcjriRK6srwHkfbkBqVl,0.0,2,101,-41.080.000.000.000.000,0,Blood On The Leaves,66,195,17.207.299.999.999.900,Kanye West - Blood On The Leaves
552,2013,521,2 Chainz,5.539.999.999.999.990,227893,899,0,00QyLmjxaSEE8qIZQjBXBj,0.0,8,568,-4.573,1,We Own It (Fast & Furious),62,408,17.196.599.999.999.900,2 Chainz - We Own It (Fast & Furious)
264,2013,139,Drake,0.52,432853,7.609.999.999.999.990,1,4NVNapccSX7E5JLiW0uQEy,1.13e-05,2,114,-6.75,1,Pound Cake / Paris Morton Music 2,62,536,164.083,Drake - Pound Cake / Paris Morton Music 2
216,2013,581,Rainbow Kitten Surprise,5.539.999.999.999.990,343485,337,1,7trx783SvnHhKkmgSSTIFJ,0.0,1,871,-10.189,1,First Class,64,351,89.961,Rainbow Kitten Surprise - First Class
8.140.000.000.000.000,2013,241,Twenty One Pilots,608,263733,7.759.999.999.999.990,0,3C3cr2JQwXIhqAHqOardVO,0.0,11,713,-3.635,1,Holding on to You,67,511,8.999.600.000.000.000,Twenty One Pilots - Holding on to You
0.23,2013,33,Jason Derulo,568,225027,631,0,3ogtSrlbtiTamktbA0hw0E,0.0,7,144,-56.229.999.999.999.900,1,Marry Me,61,273,105.096,Jason Derulo - Marry Me
495,2013,286,One Direction,515,188547,7.140.000.000.000.000,0,6nIE1oCE4udqMGv3bqVNVb,0.0,0,118,-4.516,1,Half a Heart,71,348,155.954,One Direction - Half a Heart
334,2013,825,Ariana Grande,324,327773,327,0,442j8VxaB60dWf9cBFuX5w,0.0,2,101,-7.494,1,Almost Is Never Enough,72,409,81.328,Ariana Grande - Almost Is Never Enough
406,2013,546,J. Cole,0.84,268667,504,1,1mvDFqbbmgmMmU6U4dIq5m,131,1,211,-9.354,1,Forbidden Fruit (feat. Kendrick Lamar),65,383,110.027,J. Cole - Forbidden Fruit (feat. Kendrick Lamar)
347,2013,572,Childish Gambino,593,219740,639,1,17wxjHNmOSstc6nVIe401T,0.0,5,622,-7.558,0,I. The Worst Guys,64,114,97.088,Childish Gambino - I. The Worst Guys
776,2013,892,The 1975,264,240671,285,0,2TgxCUZdHFkPEVmFge1OSd,471,1,344,-15.208,1,Fallingforyou,63,385,84.825,The 1975 - Fallingforyou
852,2013,155,Britney Spears,629,247960,8.240.000.000.000.000,1,3KliPMvk1EvFZu9cvkj8p1,628,9,651,-6.53,1,Work Bitch,71,159,128.01,Britney Spears - Work Bitch
5.670.000.000.000.000,2013,725,One Direction,4.320.000.000.000.000,176320,868,0,5wjmqUGN7vrAqFqDWrywlZ,0.0,6,233,-2.01,0,Midnight Memories,71,882,156.128,One Direction - Midnight Memories
767,2013,733,Thomas Rhett,5.489.999.999.999.990,187400,866,0,4O1CExxinEpKZi3861NlTK,0.0,6,0.25,-5.306,1,Get Me Some Of That,62,476,87.964,Thomas Rhett - Get Me Some Of That
5.870.000.000.000.000,2013,123,Arctic Monkeys,665,257563,542,0,2LGdO5MtFdyphi2EihANZG,291,11,342,-8.323,0,Knee Socks,71,33,97.975,Arctic Monkeys - Knee Socks
7.340.000.000.000.000,2013,228,A$AP Rocky,6.970.000.000.000.000,192067,8.490.000.000.000.000,1,31G9RaSaDOI2NWcpnIp734,4.52e-05,10,493,-4.953,0,Goldie,66,248,81.956,A$AP Rocky - Goldie
773,2013,898,Brett Eldredge,629,179293,8.079.999.999.999.990,0,3un2KQUaQ2brEpd8dK93wI,9.06e-06,9,751,-4.125,1,Beat of the Music,62,269,110.001,Brett Eldredge - Beat of the Music
3.720.000.000.000.000,2013,218,One Direction,645,200400,0.78,0,1dQQ2QlnvXUehsRUrukKmf,0.0,8,919,-5.165,1,Right Now,71,319,120.008,One Direction - Right Now
872,2013,249,Arctic Monkeys,728,193030,638,0,0NdTUS4UiNYCNn5FgVqKQY,0.0,5,116,-6.455,0,Snap Out Of It,73,336,130.014,Arctic Monkeys - Snap Out Of It
591,2014,489,Ariana Grande,525,204093,621,0,0lizgQ7Qw35od7CYaoMBZb,0.0,7,294,-7.364,1,Santa Tell Me,86,116,191.9,Ariana Grande - Santa Tell Me
463,2014,301,J. Cole,6.920.000.000.000.000,292987,521,1,62vpWI1CHwFy7tMIcSStl8,0.0,10,565,-8.465,0,No Role Modelz,84,0.33,100.45,J. Cole - No Role Modelz
0.51,2014,431,Vance Joy,484,204280,731,0,3JvrhDOgAt6p7K8mDyZwRd,0.0,1,151,-6.694,1,Riptide,78,379,101.654,Vance Joy - Riptide
584,2014,751,J. Cole,517,239320,705,1,6Ius4TC0L3cN74HT7ENE6e,0.0,6,128,-8.205,0,Wet Dreamz,79,364,17.590.599.999.999.900,J. Cole - Wet Dreamz
211,2014,0.22,Ty Dolla $ign,805,242983,0.33,1,7t2bFihaDvhIrd2gn2CWJO,0.0,1,105,-8.712,0,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",80,0.1,121.97,"Ty Dolla $ign - Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix"
477,2014,654,OneRepublic,664,257840,705,0,6sy3LkhNFjJWlaeSMNwQ62,0.0,1,115,-4.972,0,Counting Stars,74,382,122.017,OneRepublic - Counting Stars
4.370.000.000.000.000,2014,634,Hozier,5.660.000.000.000.000,241693,664,0,1CS7Sd1u5tWkstBhpssyjP,0.0,4,116,-5.303,0,Take Me to Church,74,464,128.945,Hozier - Take Me to Church
184,2014,588,Sam Smith,418,172724,0.42,0,5Nm9ERjJZ5oyfXZTECKmRt,6.39e-05,0,0.11,-6.444,1,Stay With Me,82,414,84.094,Sam Smith - Stay With Me
619,2014,701,WALK THE MOON,578,199080,866,0,4kbj5MwxO1bq9wjT5g9HaA,0.0,1,257,-3.804,1,Shut Up and Dance,80,619,12.803.799.999.999.900,WALK THE MOON - Shut Up and Dance
246,2014,818,James Bay,546,260533,311,0,13HVjjWUZFaWilh2QUJKsP,1.65e-05,1,107,-10.396,1,Let It Go,73,288,147.464,James Bay - Let It Go
221,2014,0.22,One Direction,6.809.999.999.999.990,248360,5.820.000.000.000.000,0,3JjnGLK8IxkNLvo8Lb3KOM,0.0,6,119,-7.76,0,18,81,313,124.038,One Direction - 18
493,2014,529,Sam Smith,677,239317,485,0,7795WJLVKJoAyVoOtCWqXN,2.04e-05,5,766,-5.795,1,I'm Not The Only One,82,361,82.001,Sam Smith - I'm Not The Only One
935,2014,873,Labrinth,435,287693,155,0,4L2K7JKseFCBoHMZEAszW0,0.0,1,107,-8.948,1,Jealous,79,46,128.532,Labrinth - Jealous
884,2014,591,Maroon 5,748,235493,7.879.999.999.999.990,1,2iuZJX9X9P0GKaE93xcPjk,0.0,1,863,-7.055,1,Sugar,80,334,120.076,Maroon 5 - Sugar
583,2014,85,Taylor Swift,752,231827,6.779.999.999.999.990,0,1p80LdxRV74UKvL8gnD7ky,1.64e-06,5,0.13,-5.421,1,Blank Space,71,646,96.009,Taylor Swift - Blank Space
8.590.000.000.000.000,2014,113,Sam Hunt,747,190240,861,0,1TwLKNsCnhi1HxbIi4bAW0,0.0,8,26,-5.251,1,House Party,72,514,103.966,Sam Hunt - House Party
441,2014,569,5 Seconds of Summer,494,202496,951,0,1gugDOSMREb34Xo0c1PlxM,0.0,9,327,-4.237,1,She Looks So Perfect,71,132,160.025,5 Seconds of Summer - She Looks So Perfect
7.509.999.999.999.990,2014,0.26,Jessie J,706,199387,7.859.999.999.999.990,0,0puf9yIluy9W0vpMEUoAnN,0.0,0,0.38,-3.417,0,Bang Bang,79,91,150.028,Jessie J - Bang Bang
867,2014,476,Kenny Chesney,733,182960,589,0,1dgWTMoHwTUnQhOQ8SR5fV,5.85e-06,7,366,-7.37,1,American Kids,71,0.1,170.097,Kenny Chesney - American Kids
0.37,2014,8.590.000.000.000.000,One Direction,672,226600,0.52,0,5O2P9iiztwhomNh8xkR9lJ,0.0,8,115,-7.747.000.000.000.000,1,Night Changes,78,353,120.001,One Direction - Night Changes
505,2014,263,Mac DeMarco,537,231724,5.579.999.999.999.990,0,1MJ5f5EYBC92ADD6xcz7nb,0.91,11,102,-8.677.999.999.999.990,1,Chamber Of Reflection,75,929,131.037,Mac DeMarco - Chamber Of Reflection
544,2014,178,Disclosure,7.290.000.000.000.000,255867,735,0,1DunhgeZSEgWiIYbHqXl0c,193,1,89,-5.455,1,Latch,70,919,121.986,Disclosure - Latch
723,2014,921,Pitbull,0.72,229360,802,1,2bJvI42r8EF3wxjOuDav4r,0.0,1,6.940.000.000.000.000,-57.970.000.000.000.000,1,Time of Our Lives,77,582,124.043,Pitbull - Time of Our Lives
304,2014,331,J. Cole,0.89,301133,393,1,16qYlQ6koFxYVbiJbGHblz,8.81e-06,4,283,-10.821,0,G.O.M.D.,73,267,128.084,J. Cole - G.O.M.D.
418,2014,124,Childish Gambino,7.070.000.000.000.000,252026,562,0,5NhlpQ6BOIz3S5welptk1W,1.58e-05,0,561,-7.621,1,Sober,73,305,98.094,Childish Gambino - Sober
581,2014,144,Bryce Vine,523,252547,7.829.999.999.999.990,1,5DJNyvuMmZfsfvdTpMMmUq,"1,71E+11",9,219,-5.084,1,Sour Patch Kids,71,545,7.658.800.000.000.000,Bryce Vine - Sour Patch Kids
743,2014,211,Calvin Harris,596,222533,856,0,6YUTL4dYpB9xZO5qExPf05,178,4,141,-3.556,0,Summer,80,346,127.949,Calvin Harris - Summer
943,2014,561,Taylor Swift,648,219200,785,0,5xTtaWoae3wi06K5WfVUUH,0.0,7,148,-5.414,1,Shake It Off,70,165,160.02,Taylor Swift - Shake It Off
467,2014,709,Taylor Swift,5.529.999.999.999.990,220440,664,0,59HjlYCeBsxdI0fcm3zglw,56,8,106,-7.417.000.000.000.000,1,Wildest Dreams,69,741,140.06,Taylor Swift - Wildest Dreams
104,2014,93,Ariana Grande,628,197267,593,0,7xoUc6faLbCqZO6fQEYprd,1.65e-06,8,96,-50.360.000.000.000.000,1,One Last Time,79,323,125.026,Ariana Grande - One Last Time
0.65,2014,25,ScHoolboy Q,825,299960,575,1,0zO8ctW0UiuOefR87OeJOZ,9.94e-06,11,205,-4.87,1,Collard Greens,73,633,153.954,ScHoolboy Q - Collard Greens
654,2014,166,Avicii,527,176658,835,0,0ct6r3EGTcMLPtrXHDvVjc,0.0,6,249,-5.297.999.999.999.990,1,The Nights,82,433,125.983,Avicii - The Nights
145,2014,921,Hozier,539,198027,179,0,57V4uc2b2diZ4RPHXWecb9,393,7,106,-14.33,1,Like Real People Do,69,309,140.01,Hozier - Like Real People Do
283,2014,155,Young Money,746,188320,687,1,6HfOzLLjsaXsehIFEsrxTk,0.0,1,1.369.999.999.999.990,-7.475,1,Trophies,72,382,143.931,Young Money - Trophies
0.19,2014,399,Lee Brice,5.870.000.000.000.000,221173,5.589.999.999.999.990,0,5aj0xPGiEUN3aI2oOYu14S,6.69e-06,1,992,-7.742.000.000.000.000,1,I Don't Dance,69,321,92.036,Lee Brice - I Don't Dance
545,2014,433,One Direction,536,228133,768,0,2Bs4jQEGMycglOfWPBqrVG,0.0,10,114,-5.948,0,Steal My Girl,78,347,77.217,One Direction - Steal My Girl
879,2014,205,Maroon 5,742,189960,713,0,4gbVRS8gloEluzf0GzDOFc,0.0,1,59,-5.522,0,Maps,77,303,120.032,Maroon 5 - Maps
255,2014,405,Nicki Minaj,573,312027,495,1,4MRT0dDbhqFKl67WzhUbSw,0.0,8,969,-7.245,0,Only,69,5.920.000.000.000.000,179.196,Nicki Minaj - Only
108,2014,283,5 Seconds of Summer,5.720.000.000.000.000,237248,499,0,1JCCdiru7fhstOIF4N7WJC,0.0,2,213,-5.237,1,Amnesia,69,311,101.593,5 Seconds of Summer - Amnesia
344,2014,957,Sam Smith,438,170964,178,0,1Qi2wh8fFgDV7tl4Sj3f2K,0.0,5,316,-9.402,1,Have Yourself A Merry Little Christmas,75,414,75.248,Sam Smith - Have Yourself A Merry Little Christmas
0.71,2014,161,Set It Off,445,187880,907,0,4WXFDVe299Po8ih6Np54n2,0.0,11,403,-3.894,0,Wolf in Sheep's Clothing (feat. William Beckett),71,773,16.506.900.000.000.000,Set It Off - Wolf in Sheep's Clothing (feat. William Beckett)
418,2014,213,Calvin Harris,6.459.999.999.999.990,227267,823,0,7MmG8p0F9N3C4AXdK6o6Eb,0.0,2,322,-4.123,0,Outside (feat. Ellie Goulding),80,394,128.035,Calvin Harris - Outside (feat. Ellie Goulding)
142,2014,125,G-Eazy,7.120.000.000.000.000,236480,562,1,6jmTHeoWvBaSrwWttr8Xvu,0.0,10,136,-6.007.999.999.999.990,1,I Mean It (feat. Remo),73,129,140.0,G-Eazy - I Mean It (feat. Remo)
674,2014,835,Cody Johnson,588,156200,807,0,4rW9EUFaMSNVY8JhbqrB6z,0.0,2,109,-3.426,1,Me and My Kind,68,283,110.014,Cody Johnson - Me and My Kind
595,2014,324,Andy Grammer,752,199263,775,0,4MflGTO2ZTcSQ12bWcyRgI,0.0,9,351,-7.289,1,"Honey, I'm Good.",72,546,122.014,"Andy Grammer - Honey, I'm Good."
106,2014,736,Glass Animals,487,289307,369,0,1gk3FhAV07q9Jg77UxnVjX,3.75e-05,11,925,-13.424,0,Gooey,71,406,183.114,Glass Animals - Gooey
371,2014,536,ScHoolboy Q,7.490.000.000.000.000,216013,865,1,5SsR3wtCOafDmZgvIdRhSm,0.0,3,198,-5.228,1,Man Of The Year,71,413,111.914,ScHoolboy Q - Man Of The Year
328,2014,185,Maroon 5,279,231013,742,0,2bL2gyO6kBdLkNSkxXNh6x,0.0,4,593,-6.46,0,Animals,77,898,189.868,Maroon 5 - Animals
0.66,2014,495,Dierks Bentley,423,254467,0.73,0,1soxUgYIZb1qx1c7o1Lc7z,1.13e-05,9,238,-5.566,1,Drunk On A Plane,68,32,205.972,Dierks Bentley - Drunk On A Plane
434,2014,749,Sam Hunt,579,229880,7.759.999.999.999.990,0,7aftSOGSOpSoIlVAQVBb71,0.0,8,239,-5.365,1,Break Up In A Small Town,69,173,13.604.399.999.999.900,Sam Hunt - Break Up In A Small Town
5.529.999.999.999.990,2014,658,Colt Ford,521,224700,804,0,5kSPD3rOo2hGYVwheIxpv8,0.0,0,521,-4.395,1,Workin' on,70,569,143.952,Colt Ford - Workin' on
399,2014,609,J. Cole,502,211680,623,1,4gkl7QbQvBd3TM9PhlWFkI,0.0,8,119,-8.812.000.000.000.000,1,Love Yourz,70,0.44,75.578,J. Cole - Love Yourz
802,2014,462,alt-J,6.970.000.000.000.000,173631,877,0,4iEOVEULZRvmzYSZY2ViKN,943,3,83,-4.465,1,Left Hand Free,68,462,101.99,alt-J - Left Hand Free
355,2014,8.420.000.000.000.000,Little Big Town,0.5,193320,225,0,11qh54D0PKkBwelpDxxiEU,0.0,0,112,-10.22,1,Girl Crush,69,302,17.378.799.999.999.900,Little Big Town - Girl Crush
162,2014,617,Coldplay,545,267867,675,0,0FDzzruyVECATHXKHFs9eJ,197,6,209,-6.474,1,A Sky Full of Stars,78,279,124.97,Coldplay - A Sky Full of Stars
0.24,2014,937,Ariana Grande,472,236133,7.140.000.000.000.000,0,5J4ZkQpzMUFojo1CtAZYpn,0.0,1,764,-4.388.999.999.999.990,0,Love Me Harder,75,334,98.992,Ariana Grande - Love Me Harder
477,2014,4.370.000.000.000.000,Nicki Minaj,564,237840,703,1,5fyIGoaaKelzdyW8ELhYJZ,927,2,358,-5.459,1,Feeling Myself,67,269,139.045,Nicki Minaj - Feeling Myself
234,2014,951,Hozier,415,240147,0.11,0,1C042FLYy7rP3MfnkOcnha,236,1,962,-14.901,1,Cherry Wine - Live,68,388,81.876,Hozier - Cherry Wine - Live
625,2014,192,Ariana Grande,0.66,193920,805,0,7vS3Y0IKjde7Xg85LWIEdP,8.83e-06,1,159,-5.352,0,Problem,75,153,103.008,Ariana Grande - Problem
616,2014,168,Chris Brown,841,264947,522,1,5BrTUo0xP1wKXLJWUaGFtk,1.37e-06,10,188,-5.962.999.999.999.990,0,Loyal (feat. Lil Wayne & Tyga),74,49,99.059,Chris Brown - Loyal (feat. Lil Wayne & Tyga)
311,2014,746,OneRepublic,599,234547,8.540.000.000.000.000,0,7D49Iig0avHre9RFSUMkd2,0.0,9,278,-5.428.999.999.999.990,1,I Lived,67,436,119.986,OneRepublic - I Lived
362,2014,5.529.999.999.999.990,J. Cole,5.589.999.999.999.990,269787,556,1,7lL3MvFWFFSD25pBz72Agj,0.0,6,251,-78.439.999.999.999.900,1,A Tale of 2 Citiez,69,531,189.861,J. Cole - A Tale of 2 Citiez
742,2014,499,Romeo Santos,757,235133,632,0,5PycBIeabfvX3n9ILG7Vrv,0.0,2,723,-6.83,1,Propuesta Indecente,76,549,122.936,Romeo Santos - Propuesta Indecente
534,2014,564,J. Cole,0.8,293040,5.429.999.999.999.990,1,1HNs07uZxZniPNmniw2GTa,0.0,5,116,-9.236,1,Apparently,69,911,133.98,J. Cole - Apparently
973,2014,453,Porter Robinson,444,328507,0.35,0,786ymAh5BmHoIpvjyrvjXk,109,9,824,-7.194,1,Goodbye To A World,71,483,95.979,Porter Robinson - Goodbye To A World
895,2014,182,Migos,8.740.000.000.000.000,216248,706,1,2n5gVJ9fzeX2SSWlLQuyS9,0.0,1,334,-51.320.000.000.000.000,1,Fight Night,68,207,8.996.799.999.999.990,Migos - Fight Night
401,2014,312,Vance Joy,388,230507,0.66,0,429EttO8gs0bDo2SQfUNSm,307,11,943,-7.372.000.000.000.000,1,Georgia,69,308,143.554,Vance Joy - Georgia
284,2014,64,Ariana Grande,687,214840,7.020.000.000.000.000,0,12KUFSHFgT0XCoiSlvdQi4,4.35e-05,7,204,-5.324,0,Break Free,75,455,12.995.600.000.000.000,Ariana Grande - Break Free
6.459.999.999.999.990,2014,668,Nicki Minaj,964,260240,605,1,794F99D5BQHS5ZGRXAs7I5,7.78e-06,9,214,-6.223,1,Anaconda,67,179,129.994,Nicki Minaj - Anaconda
168,2014,158,Sam Hunt,614,225693,472,0,0xwPzLmBAYro8BUz7MrtAo,0.0,7,111,-6.626,1,Make You Miss Me,67,297,146.005,Sam Hunt - Make You Miss Me
456,2014,256,Taylor Swift,598,231000,7.859.999.999.999.990,0,4lIxdJw6W3Fg4vUIYCB0S5,143,2,117,-5.572,1,Style,66,382,95.021,Taylor Swift - Style
5.489.999.999.999.990,2014,162,Clean Bandit,799,227833,586,0,3s4U7OHV7gnj42VV72eSZ6,2.03e-06,11,193,-6.735,1,Rather Be (feat. Jess Glynne),73,377,120.97,Clean Bandit - Rather Be (feat. Jess Glynne)
5.670.000.000.000.000,2014,641,Saint Motel,595,204812,8.959.999.999.999.990,0,2Iq6HhIquO7JKr0KfTNLzU,"5,82E+10",10,748,-2.951,1,My Type,68,47,118.001,Saint Motel - My Type
272,2014,47,Vance Joy,595,223640,723,0,29jtZGdgpE2lWm2mkIt6HS,286,7,995,-8.256,1,Mess Is Mine,68,349,108.043,Vance Joy - Mess Is Mine
0.58,2014,507,ScHoolboy Q,7.090.000.000.000.000,278067,589,1,29gsi1zZrZxdStACmTQB0Z,0.0,8,585,-7.776,0,Studio,68,433,133.922,ScHoolboy Q - Studio
527,2014,257,Rascal Flatts,611,209280,0.8,0,5S5rw0WLVCAux5B5bWCehK,0.0,0,194,-5.61,1,I Like The Sound Of That,65,377,8.997.399.999.999.990,Rascal Flatts - I Like The Sound Of That
293,2014,5.009.999.999.999,Young the Giant,466,244693,763,0,5Az8KU81g2aLBbJN67F2CI,0.0,0,973,-4.448,1,Mind Over Matter,69,318,154.914,Young the Giant - Mind Over Matter
632,2014,0.72,K CAMP,765,211573,412,1,2BqQQXuBOuhaWeUP7okEx0,0.0,7,126,-8.932,0,Comfortable,67,726,109.986,K CAMP - Comfortable
483,2014,101,Sam Hunt,5.579.999.999.999.990,243707,7.190.000.000.000.000,0,6DEaND0SHv3sC11xobZLiy,0.0,11,212,-5.603,1,Take Your Time,68,419,158.031,Sam Hunt - Take Your Time
353,2014,7.490.000.000.000.000,John Mayer,431,213627,377,0,7cpCU3Denug5NGZsSpQl8v,0.0,2,211,-9.753,1,XO,73,288,173.67,John Mayer - XO
