mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,chinese classical,918,389,241933.0,447,904,878,-18.247,439,130.27,197,0.0,2
1,chinese classical performance,9.785,3.149.027.777.777.770,2.294.088.055.555.550,8.611.999.999.999.990,8.879.444.444.444.440,8.812.500.000.000.000,-2.820.997.222.222.220,4.191.388.888.888.880,96.935.625,22.258.611.111.111.100,52.5,8
1,chinese classical piano,9.805,3.080.555.555.555.550,2.284.476.111.111.110,4.261.499.999.999.990,9.518.888.888.888.880,7.390.000.000.000.000,-32.135.444.444.444.400,4.407.777.777.777.770,873.185,10.847.222.222.222.200,54.5,2
0,chinese electropop,257,0.66,217088.0,787,0.0,32.299.999.999.999.900,-4.592,32,142.018,199,78.5,1
1,chinese hip hop,359,409,280842.0,6.779.999.999.999.990,4.76e-06,16.699.999.999.999.900,-7.731,878,8.996.799.999.999.990,168,73.0,9
0,chinese idol pop,142,7.509.999.999.999.990,232150.0,7.190.000.000.000.000,0.0,14.800.000.000.000.000,-5.198,373,98.01,4.370.000.000.000.000,73.0,6
1,chinese indie,5.305.737.435.897.430,5.538.564.102.564.100,2.496.941.820.512.820,4.651.884.615.384.610,"3,69E+11",1.441.148.717.948.710,-8.927.297.435.897.430,3.284.974.358.974.350,13.143.252.307.692.300,41.004.358.974.358.900,4.815.897.435.897.430,11
1,chinese indie rock,381,353,316160.0,6.859.999.999.999.990,0.0,568,-9.103,395,200.341,35.200.000.000.000.000,35.0,11
1,chinese instrumental,8.886.666.666.666.660,3.948.888.888.888.880,38.197.455.555.555.500,15.325.777.777.777.700,3.934.444.444.444.440,10.047.777.777.777.700,-19.134.222.222.222.200,3.818.888.888.888.880,9.850.977.777.777.770,2.055.555.555.555.550,33.111.111.111.111.100,2
1,chinese jazz,0.8,0.67,225053.0,306,1.18e-06,829,-11.032,366,13.994.899.999.999.900,0.61,58.0,2
1,chinese r&b,4.561.666.666.666.660,5.876.666.666.666.660,243627.75,4.550.833.333.333.330,"2,05E+10",13.005.833.333.333.300,-8.893.416.666.666.660,30.633.333.333.333.300,1.314.801.666.666.660,3.423.333.333.333.330,5.466.666.666.666.660,10
1,chinese soundtrack,918,389,241933.0,447,904,878,-18.247,439,130.27,197,0.0,2
1,chinese traditional,899,2.015,258466.5,2.135,6.175,24.395,-141.295,38.000.000.000.000.000,127.087,3.075,40.0,2
1,chiptune,5.825.922.352.941.170,3.151.529.411.764.700,2.420.995.882.352.940,40.505.294.117.647.000,6.943.117.647.058.820,19.266.470.588.235.200,-13.158.352.941.176.400,4.577.058.823.529.410,12.664.876.470.588.200,29.873.529.411.764.700,408.235.294.117.647,9
1,chopped and screwed,10.416.480.169.340.400,7.382.589.200.831.840,296.608.215.114.379,6.071.625.222.816.390,11.117.933.691.325.000,2.900.954.916.815.210,-7.811.748.878.490.780,25.963.267.231.134.800,12.627.861.121.509.200,5.689.791.146.761.730,44.581.706.773.618.500,11
1,choral,8.944.595.608.845.410,27.510.210.590.189.900,24.169.763.433.315.300,15.781.365.427.257.700,3.664.262.152.560.460,16.284.672.404.838.800,-2.286.638.054.669.410,56.797.139.953.387.400,9.978.812.218.661.890,18.071.073.126.405.000,4.040.145.780.203.670,4
1,choro,7.072.166.008.771.930,5.574.616.885.964.910,17.482.582.819.444.400,4.766.532.273.391.810,2.983.666.291.542.390,17.045.377.521.929.800,-1.208.504.009.137.420,6.722.312.426.900.580,11.140.361.424.342.100,7.046.121.929.824.560,1.672.831.871.345.020,7
1,christchurch indie,16.013.333.333.333.300,4.226.666.666.666.660,29.359.783.333.333.300,6.336.666.666.666.660,2.461.666.666.666.660,20.183.333.333.333.300,-10.760.666.666.666.600,3.996.666.666.666.660,10.719.533.333.333.300,3.921.666.666.666.660,40.333.333.333.333.300,8
1,christelijk,926,0.43,145031.0,423,3.71e-05,135,-6.273,28,105.924,281,6.0,0
1,christian a cappella,4.721.666.666.666.660,4.551.666.666.666.660,28.137.133.333.333.300,40.891.666.666.666.600,"4,58E+10",12.564.999.999.999.900,-10.158.416.666.666.600,34.525,10.179.375.000.000.000,3.665.000.000.000.000,36.25,10
1,christian alternative rock,2.176.568.773.541.080,4.908.987.360.468.550,2.474.544.329.658.770,6.458.246.745.777.120,21.870.231.898.756.700,1.887.096.700.240.870,-70.437.395.564.495.800,5.019.377.416.373.480,12.210.513.548.970.100,4.165.243.422.906.360,47.154.058.167.369.100,11
0,christian dance,535,6.859.999.999.999.990,209440.0,915,4.7e-06,672,-4.13,972,140.982,517,50.0,2
1,christian hard rock,276.485,4.602.777.777.777.770,21.068.905.555.555.500,9.016.111.111.111.100,"2,12E+10",18.337.777.777.777.700,-4.517.666.666.666.660,57.466.666.666.666.600,12.858.238.888.888.800,4.305.555.555.555.550,5.083.333.333.333.330,5
1,christian hardcore,15.755.166.666.666.600,6.456.666.666.666.660,21.447.316.666.666.600,8.028.333.333.333.330,7.166.666.666.666.660,2.096,-6.994.999.999.999.990,55.633.333.333.333.300,12.016.183.333.333.300,605,41.5,0
1,christian hip hop,1.263.142.824.074.070,7.011.714.814.814.810,2.475.354.361.111.110,7.841.875.925.925.920,3.373.372.181.296.290,2.100.725.185.185.180,-5.521.925.185.185.180,1.484.332.314.814.810,12.932.635.425.925.900,6.045.612.037.037.030,5.188.074.074.074.070,1
1,christian indie,2.696.138.252.890.320,5.086.096.313.153.400,2.491.455.381.177.460,5.662.025.999.368.090,6.055.382.073.962.210,15.921.919.067.169.200,-7.825.165.931.466.020,34.197.387.822.310.400,11.539.199.197.934.800,3.999.296.324.183.750,5.062.837.075.238.180,2
1,christian metal,14.313.043.570.073.500,4.731.506.006.813.690,2.336.260.086.874.660,7.837.153.666.845.970,238.050.717.357.002,21.479.475.076.205.800,-67.904.985.565.716.300,7.459.856.912.318.450,12.916.970.932.400.900,4.301.152.949.614.480,40.211.260.534.337.400,8
1,christian metalcore,47.498.383.175.757.500,4.262.484.848.484.840,2.460.464.018.181.810,8.281.430.303.030.300,54.398.194.666.666.600,27.270.212.121.212.100,-5.725.753.939.393.930,10.709.181.818.181.800,13.485.710.424.242.400,33.296.515.151.515.100,436.369.696.969.697,7
1,christian music,2.820.607.838.206.550,4.821.475.558.199.170,26.441.421.810.993.900,573.389.210.891.853,10.943.490.137.689.500,2.043.248.746.905.890,-7.935.494.863.878.610,50.007.066.419.969.300,12.129.191.155.350.100,3.582.355.778.736.440,46.941.013.583.536.300,2
1,christian pop,17.548.616.346.825.300,5.410.537.030.453.200,25.062.089.594.349.200,6.688.249.429.900.160,1.410.199.751.134.360,1.775.483.323.816.700,-6.620.651.454.876.820,4.711.393.426.344.890,12.405.508.306.740.600,419.899.156.162.465,5.319.467.796.092.790,2
1,christian power metal,3.699.806.923.076.920,4.136.153.846.153.840,2.448.881.538.461.530,7.623.846.153.846.150,26.276.869.230.769.200,14.374.615.384.615.300,-10.191.461.538.461.500,50.092.307.692.307.600,12.734.099.999.999.900,4.429.230.769.230.760,3.346.153.846.153.840,8
1,christian punk,9.427.107.299.077.730,5.609.703.557.312.250,20.871.313.530.961.700,8.034.656.126.482.210,3.917.065.707.509.880,1.871.169.960.474.300,-5.372.740.711.462.450,6.778.856.389.986.820,12.894.076.139.657.400,5.968.174.571.805.000,464.372.859.025.033,4
1,christian relaxative,7.525.443.866.880.880,3.444.926.541.649.350,2.457.154.671.085.750,2.331.601.054.137.260,39.821.324.040.561.700,17.932.322.791.437.100,-15.432.696.607.979.800,3.884.512.455.101.650,1.109.567.374.154.380,23.009.273.338.761.300,39.507.752.509.895.500,7
1,christian rock,4.918.889.562.184.640,5.001.511.113.789.160,21.883.313.114.675.000,8.255.916.840.804.550,646.614.995.180.419,18.211.063.268.835.200,-5.065.396.386.134.130,663.916.085.703.246,12.850.564.457.090.800,4.866.877.796.491.800,483.118.116.172.561,6
1,christian trap,17.689.187.499.999.900,7.381.833.333.333.330,27.506.774.166.666.600,7.468.520.833.333.330,7.571.646.458.333.330,16.261.062.499.999.900,-6.761.641.666.666.660,19.097.104.166.666.600,12.835.792.708.333.300,5.668.729.166.666.660,4.725.208.333.333.330,1
1,christian uplift,4.235.450.000.000.000,5.029.754.901.960.780,29.986.743.995.098.000,4.042.992.647.058.820,8.492.892.671.568.620,14.105.453.431.372.500,-9.887.142.156.862.740,3.196.985.294.117.640,12.062.721.200.980.300,21.800.232.843.137.200,4.752.083.333.333.330,7
1,christmas instrumental,8.971.962.604.138.800,5.589.605.855.465.400,19.236.877.834.717.700,1.669.441.281.852.520,7.732.887.654.256.850,12.758.826.506.731.200,-18.577.983.847.547.000,4.547.647.513.464.160,11.158.329.166.047.500,41.591.280.028.133.500,48.772.074.496.187.700,0
1,christmas product,841,363,162213.0,268,0.0,129,-15.797,542,170.455,517,40.0,3
1,chunchaca,27.772.416.666.666.600,7.129.333.333.333.330,3.371.497.583.333.330,642.225,21.511.145,269.325,-9.118.275,9.493.583.333.333.330,12.657.112.499.999.900,8.710.833.333.333.330,45.375,5
1,chutney,40.860.401.066.485.100,6.676.957.703.653.270,2.661.809.969.071.930,6.376.492.239.618.790,1.288.738.736.421.030,1.627.407.557.295.210,-8.866.174.235.307.460,8.870.426.752.893.120,12.466.575.575.901.900,8.239.402.393.918.760,3.730.752.779.668.700,7
1,cincinnati rap,21.443.333.333.333.300,6.983.333.333.333.330,24.137.766.666.666.600,7.291.666.666.666.660,0.0,21.575.000.000.000.000,-51.003.333.333.333.300,1.930.166.666.666.660,13.813.108.333.333.300,42.808.333.333.333.300,5.883.333.333.333.330,5
1,cinematic post-rock,15.961.344.444.444.400,5.628.333.333.333.330,28.759.941.666.666.600,7.415.222.222.222.220,2.745.297.777.777.770,22.129.722.222.222.200,-7.371.833.333.333.330,6.489.444.444.444.440,12.248.483.333.333.300,4.805.583.333.333.330,2.969.444.444.444.440,4
1,circuit,903,745,189818.0,972,465,297,-3.506,774,128.031,556,77.0,7
0,circus,191,5.670.000.000.000.000,348560.0,585,3.1e-05,241,-10.265,25,83.931,383,54.0,2
1,classic afrobeat,2.944.814.285.714.280,6.467.142.857.142.850,2.700.552.857.142.850,7.592.857.142.857.140,223.146,1.659,-7.952.714.285.714.280,8.365.714.285.714.280,10.871.642.857.142.800,7.080.000.000.000.000,3.642.857.142.857.140,0
1,classic arab pop,7.575.060.497.530.290,4.567.958.096.700.630,4.182.904.274.411.820,3.568.183.344.342.280,12.138.650.317.791.200,285.197.001.243.161,-11.246.851.394.381.100,50.544.553.018.487.800,10.756.248.101.399.300,5.051.908.789.014.970,1.953.300.299.821.170,5
1,classic australian country,636,5.750.000.000.000.000,167022.0,3.383.333.333.333.330,"1,53E+11",19.866.666.666.666.600,-13.074.333.333.333.300,403,11.662.200.000.000.000,6.109.999.999.999.990,4.366.666.666.666.660,2
1,classic belgian pop,334,4.926.666.666.666.660,20.267.966.666.666.600,6.583.333.333.333.330,"8,86E+10",12.691.666.666.666.600,-8.832.166.666.666.660,6.765,1.359.665,7.265,5.716.666.666.666.660,7
0,classic bhangra,2.058.888.888.888.880,7.668.888.888.888.890,25.652.966.666.666.600,8.907.777.777.777.770,17.960.892.222.222.200,20.333.333.333.333.300,-4.330.555.555.555.550,10.712.222.222.222.200,106.015,8.693.333.333.333.330,5.333.333.333.333.330,2
1,classic bollywood,7.830.948.174.822.840,5.262.555.043.804.370,2.654.289.309.557.970,4.062.255.069.114.850,2.308.389.703.177.820,22.961.500.211.378.400,-11.457.412.606.049.300,936.221.451.200.977,10.867.269.461.539.000,6.560.680.210.433.720,16.754.549.786.549.600,9
1,classic canadian rock,1.495.174.063.626.780,58.004.305.373.566,24.774.993.570.870.800,6.605.452.053.694.760,4.611.205.203.703.930,1.747.421.147.808.130,-9.973.043.500.124.280,4.507.495.123.063.990,1.233.622.486.252.070,6.613.485.726.048.550,40.017.443.570.619.200,4
1,classic cantopop,5.783.415.142.864.080,5.390.129.149.102.830,23.915.033.697.458.300,3.949.436.654.265.600,66.119.586.002.545.300,1.913.613.911.771.800,-11.619.263.588.371.400,3.314.925.921.439.070,11.640.175.895.277.800,3.780.737.581.132.310,4.104.512.281.222.800,7
0,classic colombian pop,6.099.190.656.850.480,6.627.849.840.042.650,1.919.092.284.619.820,4.404.420.387.042.080,662.674.503.167.258,16.948.978.855.211.200,-10.050.231.593.455.400,60.412.039.609.950.100,11.618.534.339.936.700,7.605.875.122.189.630,2.218.645.899.554.990,10
1,classic country pop,5.375.133.762.102.760,5.942.581.828.872.760,17.734.958.496.629.800,4.456.088.653.455.790,9.587.550.695.176.980,17.115.301.614.914.400,-11.647.595.126.124.000,4.129.408.475.065.980,11.645.966.092.763.800,6.548.390.919.774.710,3.481.848.879.750.750,7
1,classic czech pop,8.959.999.999.999.990,3.213.333.333.333.330,145627.0,3.176.666.666.666.660,83.402,1.002,-12.014.333.333.333.300,3.583.333.333.333.330,10.912.233.333.333.300,425,4.666.666.666.666.660,8
1,classic danish pop,5.491.327.719.298.240,6.146.771.929.824.560,22.832.205.964.912.200,44.277.964.912.280.700,1.991.377.941.754.380,15.178.105.263.157.800,-10.619.256.140.350.800,10.973.368.421.052.600,1.122.470.596.491.220,6.134.771.929.824.560,24.354.385.964.912.200,7
1,classic dubstep,11.600.226.190.476.100,5.029.702.380.952.380,29.210.493.154.761.900,6.766.160.714.285.710,1.830.896.755.952.380,13.493.154.761.904.700,-5.740.645.833.333.330,6.761.547.619.047.610,13.932.465.773.809.500,2.442.994.047.619.040,4.869.642.857.142.850,11
1,classic eurovision,956,387,165693.0,0.25,8.88e-06,181,-10.983,361,109.328,305,0.0,10
0,classic finnish pop,6.729.999.999.999.990,775,151480.0,487,0.0,203,-11.048,122,127.385,921,38.0,2
0,classic french pop,145,7.170.000.000.000.000,249280.0,804,0.0,0.3,-7.41,689,113.556,851,49.0,7
1,classic garage rock,2.763.577.444.824.210,5.171.467.553.442.310,18.930.030.960.385.400,6.288.254.040.029.840,5.480.443.403.166.020,19.463.769.617.706.100,-10.195.935.718.268.900,4.912.406.383.337.880,12.387.585.648.962.900,6.772.511.448.373.250,3.242.884.028.096.970,9
1,classic girl group,5.676.368.056.983.710,5.735.983.979.381.710,17.132.806.109.345.200,5.356.850.487.966.370,8.000.705.285.301.620,2.082.038.729.046.180,-8.934.626.313.883.440,6.705.634.955.204.900,11.689.701.934.057.300,6.366.064.998.496.100,3.598.150.230.228.230,9
0,classic greek pop,7.669.130.747.126.430,5.455.294.540.229.880,1.922.405.352.011.490,3.946.436.781.609.190,2.518.779.572.844.820,15.542.205.459.770.100,-123.090.625,4.277.959.770.114.940,11.760.325,6.112.090.517.241.370,2.664.439.655.172.410,7
0,classic hardstyle,8.944.780.000.000.000,56.495,223508.45,84.905,242.953.695,18.602.666.666.666.600,-3.800.683.333.333.330,6.226,14.007.738.333.333.300,29.395,12.266.666.666.666.600,9
1,classic icelandic pop,532,0.56,407987.0,305,775,665,-9.369,278,139.953,393,47.0,5
1,classic indo pop,409,0.37,295947.0,514,115,28.300.000.000.000.000,-5.479,302,126.978,0.17,56.0,2
0,classic iskelma,7.090.000.000.000.000,8.126.000.000.000.000,191480.0,5.046,1.456,3.038,-9.872.800.000.000.000,712,1.186.122,9.754.000.000.000.000,18.8,11
1,classic israeli pop,5.200.545.351.473.920,5.214.793.650.793.650,2.378.773.378.117.910,4.925.121.315.192.740,2.634.484.509.750.560,13.394.515.873.015.800,-12.102.825.056.689.300,5.621.460.317.460.310,11.837.437.619.047.600,497.594.501.133.787,3.920.975.056.689.340,7
1,classic italian folk pop,9.178.693.438.914.020,4.124.185.206.133.730,18.632.322.354.198.000,2.051.800.653.594.770,17.510.241.689.982.400,24.804.809.891.905.400,-15.031.081.416.540.900,41.940.598.290.598.200,10.209.357.981.397.600,4.455.915.975.364.500,6.271.524.635.495.220,10
1,classic italian pop,6.118.954.317.175.490,5.020.506.511.316.770,22.761.716.968.356.300,41.083.510.449.035.400,5.069.766.838.806.260,19.230.977.124.207.100,-11.833.143.954.987.100,55.639.023.076.081.600,1.192.434.483.971.040,5.142.768.033.060.640,34.963.343.779.398.000,9
1,classic j-rock,16.677.134.892.857.100,5.722.406.250.000.000,4.015.260.160.714.280,7.164.861.607.142.850,5.229.950.514.732.140,17.453.392.857.142.800,-8.090.116.071.428.570,6.898.401.785.714.280,12.893.828.839.285.700,6.236.276.785.714.280,3.414.196.428.571.420,11
1,classic japanese jazz,5.639.163.636.363.630,5.810.735.930.735.930,31.813.968.203.463.200,4.136.558.441.558.440,4.944.591.017.316.010,10.118.794.372.294.300,-1.530.079.285.714.280,408.797.619.047.619,10.869.398.376.623.300,5.533.531.385.281.380,30.204.329.004.329.000,10
1,classic korean pop,42.555.238.095.238.000,4.900.476.190.476.190,240910.0,2.767.142.857.142.850,9.618.879.047.619.040,10.303.333.333.333.300,-15.043.047.619.047.600,29.742.857.142.857.100,10.042.109.523.809.500,22.700.000.000.000.000,31.952.380.952.380.900,5
1,classic latvian pop,7.256.666.666.666.660,2.766.666.666.666.660,211369.0,39.866.666.666.666.600,"5,03E-02",9.313.333.333.333.330,-9.666.666.666.666.660,315,8.905.833.333.333.330,2.449.333.333.333.330,6.666.666.666.666.660,1
1,classic mandopop,5.573.232.458.260.290,5.410.279.549.079.000,2.701.430.899.720.930,42.844.965.246.153.900,19.115.397.026.023.600,22.147.796.238.311.600,-11.029.953.765.972.500,35.289.181.212.683.900,11.271.692.043.130.900,36.663.887.322.934.400,4.416.460.658.720.180,7
1,classic norwegian pop,37.015,5.045,218527.0,6.305,13.228.000.000.000.000,1.167,-91.305,568,16.289.450.000.000.000,722,38.5,7
1,classic opm,5.558.539.792.563.310,4.944.906.251.524.910,2.520.932.603.583.540,3.941.109.101.888.440,3.998.159.444.949.490,1.987.396.306.665.690,-12.189.350.227.150.700,36.900.793.801.542,12.501.041.554.683.300,3.956.559.086.639.340,46.149.234.738.691.200,0
1,classic pakistani pop,7.818.773.814.084.650,5.344.368.118.120.490,27.417.632.049.750.900,4.024.799.088.949.010,17.384.690.371.432.900,21.192.984.620.710.300,-1.121.071.245.165.410,7.743.239.059.055.390,10.807.832.690.439.700,6.448.534.645.056.040,20.448.626.007.072.000,9
0,classic persian pop,7.216.739.130.434.780,4.812.652.173.913.040,30.355.400.217.391.300,43.920.869.565.217.300,2.593.033.086.956.520,20.110.652.173.913.000,-1.000.042.608.695.650,7.636.086.956.521.740,1.204.569.456.521.730,5.437.282.608.695.650,3.256.521.739.130.430,11
1,classic peruvian pop,6.624.107.142.857.140,6.254.508.928.571.420,21.870.386.160.714.200,601.017.857.142.857,11.742.211.607.142.800,2.150.553.571.428.570,-10.995.178.571.428.500,7.479.553.571.428.570,14.654.279.464.285.700,7.961.874.999.999.990,21.589.285.714.285.700,6
0,classic polish pop,5.916.666.666.666.660,6.066.666.666.666.660,18.854.116.666.666.600,4.596.666.666.666.660,19.866.666.666.666.600,1.073,-11.691.166.666.666.600,40.999.999.999.999.900,11.390.766.666.666.600,6.869.999.999.999.990,41.833.333.333.333.300,5
1,classic praise,5.878.101.388.888.880,3.662.024.305.555.550,2.397.211.451.388.880,30.593.993.055.555.500,1.295.971.375,2.160.784.027.777.770,-14.354.713.541.666.600,35.166.423.611.111.100,10.818.847.361.111.100,30.316.493.055.555.500,3.898.854.166.666.660,7
1,classic psychedelic rock,25.498.125,33.387.500.000.000.000,263.261.625,533.875,75.028.775,121.375,-10.315.625,41.925,1.414.245,297.375,25.875,6
1,classic punjabi pop,5.857.666.666.666.660,6.649.999.999.999.990,2.174.523.333.333.330,5.286.666.666.666.660,17.877,2.733.333.333.333.330,-7.070.999.999.999.990,6.949.999.999.999.990,115.885,735,34.0,10
1,classic rock,2.668.147.467.190.440,5.254.330.038.344.090,25.423.806.051.499.900,6.063.154.783.872.090,7.212.945.974.706.710,2.192.113.603.528.550,-10.367.957.872.626.700,60.576.345.611.870.400,12.309.597.631.800.100,5.884.981.442.324.890,368.183.916.977.534,9
0,classic russian pop,7.841.761.363.636.360,5.780.662.878.787.870,17.351.620.265.151.500,2.853.772.727.272.720,7.535.181.818.181.810,17.210.795.454.545.400,-15.239.399.621.212.100,10.046.401.515.151.500,10.147.857.575.757.500,6.991.382.575.757.570,3.558.333.333.333.330,6
1,classic russian rock,1.573.681.944.444.440,5.477.152.777.777.770,279.850.625,6.655.486.111.111.110,9.543.421.694.444.440,2.876.826.388.888.880,-9.486.513.888.888.880,3.373.888.888.888.880,13.540.759.722.222.200,4.654.444.444.444.440,4.632.638.888.888.880,7
1,classic schlager,5.689.050.000.000.000,569.555,225214.49,4.191.909.999.999.990,13.556.201,2.227.925,-1.252.958,57.330.499.999.999.900,111.536.825,5.584.600.000.000.000,39.55,3
1,classic soul,4.189.708.025.104.270,5.807.479.182.970.350,2.368.886.582.400.200,5.171.568.600.378.530,5.690.431.936.052.240,189.614.015.759.032,-10.801.344.809.547.900,51.991.367.722.067.200,11.871.724.727.603.400,6.655.840.822.187.930,3.491.147.056.444.140,7
1,classic soundtrack,7.801.593.177.987.070,31.770.566.677.057.900,23.034.962.211.778.800,2.820.010.975.160.520,5.722.191.220.437.070,19.247.291.673.170.300,-159.727.008.445.752,5.243.578.379.812.820,10.348.043.739.199.700,2.783.975.044.805.280,2.031.051.174.320.880,7
1,classic swedish pop,43.214.745.098.039.200,5.993.294.117.647.060,19.899.646.666.666.600,590.726.862.745.098,7.693.038.725.490.190,1.608.247.058.823.520,-10.424.525.490.196.000,5.399.294.117.647.050,11.913.776.470.588.200,6.498.627.450.980.390,4.079.803.921.568.620,2
1,classic thai pop,369,5.660.000.000.000.000,234853.0,746,0.0,959,-3.588,332,176.055,0.63,1.0,7
1,classic tunisian pop,17.600.000.000.000.000,807,281443.0,639,1,59,-11.604,416,103.956,6.920.000.000.000.000,49.0,0
0,classic turkish pop,7.281.666.666.666.660,4.487.222.222.222.220,20.787.588.888.888.800,4.991.666.666.666.660,497.403,3.583.888.888.888.880,-10.681.888.888.888.800,5.049.444.444.444.440,1.122.575,5.717.222.222.222.220,3.616.666.666.666.660,7
1,classic uk pop,3.754.638.479.796.900,5.572.614.961.586.170,22.499.812.785.693.200,5.539.411.014.307.420,32.983.798.446.241.600,18.778.726.154.324.200,-1.042.862.205.742.670,5.565.234.455.377.900,11.935.970.775.310.900,6.244.348.538.003.240,4.041.996.483.002.750,7
1,classic venezuelan pop,5.824.468.429.796.160,6.019.012.605.042.010,21.539.526.666.120.900,5.917.402.779.293.530,3.367.196.099.573.160,1.348.992.230.225.420,-9.503.035.532.394.770,55.747.635.720.955.000,12.382.223.905.926.000,7.893.053.130.343.040,35.900.626.917.433.600,7
1,classical,9.230.848.689.192.320,3.144.252.479.947.690,3.120.011.515.729.340,16.407.920.086.991.400,5.760.118.839.862.200,17.213.653.086.501.300,-2.097.263.389.850.170,53.454.074.601.142.500,10.315.758.348.413.000,2.356.251.890.056.110,17.142.737.001.371.400,7
1,classical accordion,223,348,153067.0,393,0.0,151,-9.787,0.03,132.069,35.700.000.000.000.000,62.0,1
1,classical baritone,9.460.556.694.291.370,3.114.176.496.124.340,2.644.886.843.070.040,1.942.469.837.255.530,14.549.543.719.895.500,19.517.362.156.571.000,-1.715.212.690.355.040,5.808.221.947.228.390,9.820.100.405.452.570,22.284.673.763.890.400,1.176.718.653.310.050,2
1,classical bass,9.651.962.005.884.000,2.985.652.085.496.280,35.063.991.708.345.800,20.347.791.115.365.500,18.293.007.047.143.900,258.396.609.718.396,-1.873.953.910.916.360,6.760.318.173.184.710,9.288.742.942.015.610,19.591.216.001.863.900,12.647.104.174.485.100,5
1,classical cello,973.097.351.226.316,2.573.467.643.785.430,26.002.155.245.098.200,9.089.248.547.552.720,8.245.381.930.387.630,14.228.455.796.501.600,-2.467.057.851.321.650,4.980.493.503.298.720,10.478.177.035.690.200,2.173.836.931.186.520,29.698.144.860.777.000,7
1,classical clarinet,9.207.366.386.554.620,2.907.875.443.510.730,3.659.837.257.703.080,13.565.307.189.542.400,697.769.366.782.446,15.497.614.379.084.900,-20.999.323.249.299.700,50.250.597.572.362.200,10.151.393.398.692.800,24.934.738.562.091.500,28.346.311.858.076.500,2
1,classical contralto,9.746.178.743.961.350,2.957.125.603.864.730,40.908.765.748.792.200,16.238.739.130.434.700,2.956.638.812.077.290,1.868.214.009.661.830,-1.979.882.512.077.290,7.447.888.888.888.890,10.425.292.367.149.700,20.584.734.299.516.900,8.754.106.280.193.230,7
0,classical countertenor,9.293.333.333.333.330,1.975,346775.5,7.941.666.666.666.660,2.840.586.666.666.660,13.696.666.666.666.600,-245.205,45.783.333.333.333.300,13.839.266.666.666.600,12.024.999.999.999.900,38.333.333.333.333.300,4
1,classical era,9.610.112.948.021.710,374.795.236.308.852,25.997.304.186.979.100,14.866.258.593.189.000,548.126.960.499.848,15.095.511.898.232.100,-2.049.400.236.397.560,5.093.731.845.016.500,1.103.671.842.107.910,343.930.803.383.632,9.711.394.903.943.110,10
1,classical flute,912.797.435.897.436,3.465.976.923.076.920,4.361.774.692.307.690,14.782.589.743.589.700,6.153.076.538.461.530,13.601.653.846.153.800,-22.677.575.641.025.600,46.562.820.512.820.500,10.367.645.256.410.200,319.643.076.923.077,34.103.846.153.846.100,5
1,classical guitar,9.803.550.279.307.780,4.106.759.818.742.910,2.208.200.912.945.810,6.273.298.894.488.060,9.064.449.141.982.100,10.155.985.499.433.500,-28.711.750.055.080.200,7.384.342.841.517.240,10.795.821.887.690.900,32.429.018.594.476.300,29.030.898.472.596.500,9
1,classical harp,9.777.916.666.666.660,32.479.166.666.666.600,227689.5,6.352.166.666.666.660,746.375,9.954.583.333.333.330,-27.162.666.666.666.600,4.516.666.666.666.660,9.783.879.166.666.660,17.435.833.333.333.300,4.333.333.333.333.330,7
1,classical horn,9.787.032.967.032.960,20.394.065.934.065.900,3.368.685.164.835.160,43.266.813.186.813.100,7.683.670.329.670.320,1.395.010.989.010.980,-25.584.186.813.186.800,4.224.615.384.615.380,8.365.793.406.593.400,16.741.868.131.868.100,4.072.527.472.527.470,3
1,classical mandolin,8.064.749.999.999.990,473.825,249.990.925,3.863.875,35.725.500.000.000.000,1.648.375,-13.759.975,7.409,10.914.325,5.119.125,43.1,7
1,classical mezzo-soprano,9.598.552.781.448.990,2.919.405.825.223.270,3.613.949.119.337.310,17.730.978.380.525.100,14.737.240.557.039.300,24.476.603.241.352.600,-1.900.995.905.522.840,6.666.838.907.578.730,987.111.595.135.301,17.057.317.413.592.800,17.125.906.991.335.900,2
1,classical oboe,8.987.500.000.000.000,3.228,321331.75,123.625,8.553.749.999.999.990,2.873.125,-2.146.125,478.375,96.429.875,287.825,44.375,7
1,classical organ,7.862.731.063.070.390,2.504.666.209.225.620,2.989.881.495.662.780,1.895.636.590.765.330,5.512.550.793.620.670,1.463.018.263.757.110,-20.410.004.324.794.400,4.176.647.736.513.960,10.768.524.137.300.000,24.460.917.434.715.800,3.100.997.108.520.820,7
1,classical performance,9.234.807.826.904.920,3.014.029.357.684.480,3.440.863.477.337.760,13.805.085.179.006.800,5.588.136.396.566.500,15.418.060.674.767.600,-22.326.791.356.122.400,47.494.268.148.068.900,10.448.680.272.017.500,21.733.697.155.571.300,3.156.433.122.838.180,2
1,classical piano,9.849.960.428.469.220,3.250.729.687.833.160,31.357.977.044.736.200,6.679.346.572.736.660,8.702.915.434.567.800,10.457.125.924.197.100,-27.484.670.203.328.500,4.429.388.898.610.440,962.958.667.244.087,16.872.707.113.184.700,36.714.557.744.094.300,3
1,classical piano duo,9.906.666.666.666.660,4.026.666.666.666.660,138133.0,3.826.666.666.666.660,901,682,-33.412,5.326.666.666.666.660,7.658.466.666.666.660,26.933.333.333.333.300,4.533.333.333.333.330,7
